Symbol,Industry,Sector,Open,High,Low,Last,Change,% Change,Bid,Offer,Volume (Shares),Value ('000 Baht),totalEquity,financingCashFlow,roe,market
RJH,SERVICE - Services,HELTH - Health Care Services,23.2,23.5,23.1,23.5,0.3,1.29,23.4,23.5,76924,1797.74,1482716.0,-7447.0,20.417073578510596,SET-Thailand
RPH,SERVICE - Services,HELTH - Health Care Services,5.85,5.85,5.8,5.85,0.05,0.86,5.85,5.9,215933,1257.1,1347307.31,-7291.81,7.196316887650541,SET-Thailand
SAFE,SERVICE - Services,HELTH - Health Care Services,16.4,16.4,15.9,16,-0.4,-2.44,15.9,16,537606,8720.17,,,,SET-Thailand
SKR,SERVICE - Services,HELTH - Health Care Services,9.35,9.35,9.05,9.2,-0.1,-1.08,9.15,9.2,5274700,47608.13,3950673.86,-67601.14,6.311798838117677,SET-Thailand
THG,SERVICE - Services,HELTH - Health Care Services,26,26,25.25,25.25,-0.75,-2.88,25.25,25.5,540361,13804.27,8682115.09,918370.48,6.512598530949967,SET-Thailand
VIBHA,SERVICE - Services,HELTH - Health Care Services,2.2,2.24,2.1,2.12,-0.08,-3.64,2.1,2.12,18141667,38538.74,10065383.37,-131146.91,11.139740260706631,SET-Thailand
VIH,SERVICE - Services,HELTH - Health Care Services,9.55,9.55,9.4,9.5,0,0,9.45,9.5,326815,3104.75,1342494.0,-28489.0,16.360399709445,SET-Thailand
WPH,SERVICE - Services,HELTH - Health Care Services,10.6,10.7,10.5,10.6,0,0,10.6,10.7,1107999,11749.61,841765.0,36101.0,0.6861892234034015,SET-Thailand
AMARIN,SERVICE - Services,MEDIA - Media & Publishing,3.9,3.9,3.82,3.88,-0.04,-1.02,3.84,3.9,66400,255.02,4152026.0,-35843.0,4.3576983613588425,SET-Thailand
AQUA,SERVICE - Services,MEDIA - Media & Publishing,0.36,0.41,0.36,0.4,0.04,11.11,0.39,0.4,54428103,21345.15,4532395.69,-83472.98,12.37278233469408,SET-Thailand
AS,SERVICE - Services,MEDIA - Media & Publishing,5.15,5.35,5,5.2,0.05,0.97,5.15,5.2,14026666,72372.17,166229.0,-8260.0,89.72590059146229,SET-Thailand
BEC,SERVICE - Services,MEDIA - Media & Publishing,4.24,4.24,4.18,4.2,-0.02,-0.47,4.18,4.2,403417,1695.17,5389049.0,-3315.0,-9.656339730808241,SET-Thailand
FE,SERVICE - Services,MEDIA - Media & Publishing,-,-,-,-,-,-,178,195,1027,205.82,1251529.0,-130.0,6.873877144630886,SET-Thailand
GPI,SERVICE - Services,MEDIA - Media & Publishing,1.64,1.64,1.62,1.64,0,0,1.63,1.64,1381800,2247.73,670257.84,0.0,-8.587218367741544,SET-Thailand
GRAMMY,SERVICE - Services,MEDIA - Media & Publishing,7.65,7.75,7.55,7.7,-0.05,-0.65,7.55,7.7,25087,189.96,1325983.0,-74729.0,29.011766706114223,SET-Thailand
JKN,SERVICE - Services,MEDIA - Media & Publishing,-,-,-,-,-,-,0.26,0.31,-,-,2487164.0,877495.0,11.579177972880666,SET-Thailand
MAJOR,SERVICE - Services,MEDIA - Media & Publishing,15.4,15.4,15.2,15.3,-0.1,-0.65,15.2,15.3,1776265,27263.11,7254661.0,-37649.0,10.281387977888771,SET-Thailand
MATCH,SERVICE - Services,MEDIA - Media & Publishing,1.45,1.46,1.42,1.42,-0.01,-0.7,1.42,1.44,53400,76.01,1490749.0,-1269.0,-3.6256332011788936,SET-Thailand
MATI,SERVICE - Services,MEDIA - Media & Publishing,-,-,-,-,-,-,7,7.2,18,0.13,1335836.0,-984.0,-2.940986262321427,SET-Thailand
MCOT,SERVICE - Services,MEDIA - Media & Publishing,2.88,2.9,2.82,2.84,-0.04,-1.39,2.84,2.86,45900,130.97,2293737.0,-3532.0,-43.40197868037046,SET-Thailand
MONO,SERVICE - Services,MEDIA - Media & Publishing,1.78,1.84,1.77,1.84,0.08,4.55,1.84,1.85,22711000,41068.31,1624369.0,141001.0,-43.21097581397574,SET-Thailand
NATION,SERVICE - Services,MEDIA - Media & Publishing,0.04,0.05,0.04,0.04,-0.01,-20,0.04,0.05,2552500,122.7,326283.0,60189.0,33.20089945076241,SET-Thailand
